book_id,title,price_gbp,price_inr,rating,in_stock,category_id
5,Sapiens: A Brief History of Humankind,,,5,1,1
13,Set Me Free,,,5,1,1
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),,,5,1,1
15,Rip it Up and Start Again,,,5,1,1
24,Chase Me (Paris Nights #2),,,5,1,1
25,Black Dust,,,5,1,1
29,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,,,5,1,1
31,The Four Agreements: A Practical Guide to Personal Freedom,,,5,1,1
33,The Elephant Tree,,,5,1,1
35,Sophie's World,,,5,1,1
43,Private Paris (Private #10),,,5,1,1
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,,,5,1,1
47,"We Love You, Charlie Freeman",,,5,1,1
55,Thirst,,,5,1,1
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",,,5,1,1
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,,,5,1,1
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",,,5,1,1
82,Princess Between Worlds (Wide-Awake Princess #5),,,5,1,1
99,Join,,,5,1,1
